Tarih,TP DK USD A YTL,TP DK USD S YTL
01-01-2017,,
02-01-2017,3.52,3.53
03-01-2017,3.53,3.54
04-01-2017,3.57,3.58
05-01-2017,3.58,3.58
06-01-2017,3.59,3.60
07-01-2017,,
08-01-2017,,
09-01-2017,3.61,3.62
10-01-2017,3.70,3.71
11-01-2017,3.76,3.77
12-01-2017,3.85,3.86
13-01-2017,3.84,3.85
14-01-2017,,
15-01-2017,,
16-01-2017,3.80,3.81
17-01-2017,3.76,3.77
18-01-2017,3.78,3.79
19-01-2017,3.78,3.78
20-01-2017,3.79,3.80
21-01-2017,,
22-01-2017,,
23-01-2017,3.82,3.82
24-01-2017,3.77,3.77
25-01-2017,3.75,3.76
26-01-2017,3.80,3.81
27-01-2017,3.83,3.84
28-01-2017,,
29-01-2017,,
30-01-2017,3.88,3.88
31-01-2017,3.83,3.84
01-02-2017,3.79,3.79
02-02-2017,3.77,3.78
03-02-2017,3.73,3.74
04-02-2017,,
05-02-2017,,
06-02-2017,3.74,3.75
07-02-2017,3.68,3.69
08-02-2017,3.71,3.72
09-02-2017,3.74,3.75
10-02-2017,3.70,3.71
11-02-2017,,
12-02-2017,,
13-02-2017,3.67,3.68
14-02-2017,3.69,3.69
15-02-2017,3.65,3.66
16-02-2017,3.65,3.65
17-02-2017,3.67,3.68
18-02-2017,,
19-02-2017,,
20-02-2017,3.67,3.67
21-02-2017,3.62,3.63
22-02-2017,3.62,3.63
23-02-2017,3.61,3.62
24-02-2017,3.57,3.58
25-02-2017,,
26-02-2017,,
27-02-2017,3.57,3.58
28-02-2017,3.59,3.59
01-03-2017,3.61,3.61
02-03-2017,3.63,3.64
03-03-2017,3.68,3.69
04-03-2017,,
05-03-2017,,
06-03-2017,3.72,3.73
07-03-2017,3.71,3.72
08-03-2017,3.68,3.69
09-03-2017,3.70,3.71
10-03-2017,3.75,3.76
11-03-2017,,
12-03-2017,,
13-03-2017,3.75,3.75
14-03-2017,3.74,3.75
15-03-2017,3.75,3.75
16-03-2017,3.73,3.74
17-03-2017,3.67,3.68
18-03-2017,,
19-03-2017,,
20-03-2017,3.61,3.61
21-03-2017,3.63,3.63
22-03-2017,3.61,3.62
23-03-2017,3.63,3.63
24-03-2017,3.61,3.62
25-03-2017,,
26-03-2017,,
27-03-2017,3.62,3.63
28-03-2017,3.59,3.60
29-03-2017,3.62,3.63
30-03-2017,3.64,3.65
31-03-2017,3.64,3.65
01-04-2017,,
02-04-2017,,
03-04-2017,3.64,3.64
04-04-2017,3.64,3.64
05-04-2017,3.64,3.65
06-04-2017,3.68,3.68
07-04-2017,3.71,3.71
08-04-2017,,
09-04-2017,,
10-04-2017,3.72,3.73
11-04-2017,3.73,3.73
12-04-2017,3.72,3.72
13-04-2017,3.68,3.68
14-04-2017,3.66,3.66
15-04-2017,,
16-04-2017,,
17-04-2017,3.68,3.69
18-04-2017,3.66,3.66
19-04-2017,3.68,3.69
20-04-2017,3.66,3.67
21-04-2017,3.64,3.64
22-04-2017,,
23-04-2017,,
24-04-2017,3.64,3.65
25-04-2017,3.59,3.60
26-04-2017,3.58,3.59
27-04-2017,3.59,3.59
28-04-2017,3.56,3.56
29-04-2017,,
30-04-2017,,
01-05-2017,,
02-05-2017,3.55,3.56
03-05-2017,3.53,3.54
04-05-2017,3.53,3.54
05-05-2017,3.54,3.55
06-05-2017,,
07-05-2017,,
08-05-2017,3.56,3.57
09-05-2017,3.55,3.55
10-05-2017,3.59,3.60
11-05-2017,3.60,3.60
12-05-2017,3.57,3.58
13-05-2017,,
14-05-2017,,
15-05-2017,3.59,3.59
16-05-2017,3.56,3.56
17-05-2017,3.55,3.55
18-05-2017,3.55,3.56
19-05-2017,,
20-05-2017,,
21-05-2017,,
22-05-2017,3.61,3.62
23-05-2017,3.56,3.57
24-05-2017,3.57,3.57
25-05-2017,3.56,3.57
26-05-2017,3.56,3.57
27-05-2017,,
28-05-2017,,
29-05-2017,3.57,3.57
30-05-2017,3.58,3.58
31-05-2017,3.56,3.57
01-06-2017,3.53,3.54
02-06-2017,3.53,3.54
03-06-2017,,
04-06-2017,,
05-06-2017,3.53,3.53
06-06-2017,3.51,3.51
07-06-2017,3.53,3.54
08-06-2017,3.52,3.52
09-06-2017,3.54,3.55
10-06-2017,,
11-06-2017,,
12-06-2017,3.52,3.53
13-06-2017,3.52,3.53
14-06-2017,3.52,3.52
15-06-2017,3.51,3.52
16-06-2017,3.50,3.51
17-06-2017,,
18-06-2017,,
19-06-2017,3.51,3.52
20-06-2017,3.50,3.51
21-06-2017,3.52,3.53
22-06-2017,3.53,3.54
23-06-2017,3.52,3.52
24-06-2017,,
25-06-2017,,
26-06-2017,,
27-06-2017,,
28-06-2017,3.50,3.51
29-06-2017,3.52,3.53
30-06-2017,3.51,3.51
01-07-2017,,
02-07-2017,,
03-07-2017,3.52,3.52
04-07-2017,3.53,3.54
05-07-2017,3.55,3.56
06-07-2017,3.58,3.59
07-07-2017,3.62,3.63
08-07-2017,,
09-07-2017,,
10-07-2017,3.63,3.64
11-07-2017,3.60,3.61
12-07-2017,3.63,3.64
13-07-2017,3.60,3.61
14-07-2017,3.57,3.57
15-07-2017,,
16-07-2017,,
17-07-2017,3.56,3.57
18-07-2017,3.54,3.54
19-07-2017,3.53,3.53
20-07-2017,3.53,3.53
21-07-2017,3.53,3.54
22-07-2017,,
23-07-2017,,
24-07-2017,3.53,3.54
25-07-2017,3.54,3.55
26-07-2017,3.56,3.56
27-07-2017,3.56,3.56
28-07-2017,3.53,3.53
29-07-2017,,
30-07-2017,,
31-07-2017,3.53,3.54
01-08-2017,3.52,3.53
02-08-2017,3.52,3.52
03-08-2017,3.53,3.54
04-08-2017,3.54,3.54
05-08-2017,,
06-08-2017,,
07-08-2017,3.53,3.54
08-08-2017,3.53,3.54
09-08-2017,3.53,3.53
