Date,Price,Open,High,Low,Vol.,Change %,usd_buy,usd_sell,gold_Price,gold_Open,gold_High,gold_Low,gold_Change
2017-01-22,918.8,919.8,938.4,888.6,47930.0,-0.11,3.79,3.8,,,,,
2017-01-23,921.5,918.8,928.0,910.8,32740.000000000004,0.29,3.82,3.82,1217.48,1209.43,1219.54,1209.27,0.62
2017-01-24,893.8,921.5,925.6,889.2,58870.0,-3.01,3.77,3.77,1208.81,1217.4,1219.66,1206.02,-0.71
2017-01-25,894.4,893.8,905.7,883.6,37900.0,0.07,3.75,3.76,1200.31,1208.79,1209.84,1192.83,-0.7
2017-01-26,915.6,894.4,919.3,893.5,33800.0,2.36,3.8,3.81,1188.57,1199.93,1202.67,1184.11,-0.98
2017-01-27,918.0,915.6,922.6,907.9,30970.0,0.27,3.83,3.84,1191.6,1188.78,1192.06,1181.04,0.25
2017-01-28,918.5,918.0,921.9,912.8,14310.0,0.05,3.83,3.84,1191.6,1188.78,1192.06,1181.04,0.25
2017-01-29,914.5,918.5,922.4,912.7,11050.0,-0.43,3.83,3.84,1191.6,1188.78,1192.06,1181.04,0.25
2017-01-30,920.7,914.5,922.3,911.5,19060.0,0.68,3.88,3.88,1195.35,1192.85,1199.88,1188.15,0.31
2017-01-31,965.5,920.7,967.5,917.4,54670.0,4.86,3.83,3.84,1210.63,1195.38,1215.49,1193.83,1.28
2017-02-01,982.4,965.5,986.6,959.8,45220.0,1.75,3.79,3.79,1209.49,1210.89,1213.59,1198.12,-0.09
2017-02-02,1004.0,982.4,1009.1,973.5,50860.0,2.19,3.77,3.78,1215.93,1209.53,1225.41,1208.26,0.53
2017-02-03,1013.0,1004.0,1023.7,989.2,61670.0,0.9,3.73,3.74,1219.88,1215.89,1221.48,1207.18,0.32
2017-02-04,1031.8,1013.0,1041.0,1000.4,39460.0,1.86,3.73,3.74,1219.88,1215.89,1221.48,1207.18,0.32
2017-02-05,1016.1,1031.8,1033.7,1004.0,31060.0,-1.53,3.73,3.74,1219.88,1215.89,1221.48,1207.18,0.32
2017-02-06,1024.7,1016.1,1030.6,1010.8,32020.000000000004,0.84,3.74,3.75,1235.59,1219.67,1235.84,1219.01,1.29
2017-02-07,1049.6,1024.7,1054.1,1019.9,39550.0,2.43,3.68,3.69,1233.72,1235.23,1235.86,1227.41,-0.15
2017-02-08,1055.5,1049.6,1069.2,1020.3,65150.00000000001,0.56,3.71,3.72,1241.99,1234.04,1245.06,1230.29,0.67
2017-02-09,979.0,1055.5,1073.0,924.7,146750.0,-7.25,3.74,3.75,1230.89,1242.48,1244.52,1230.22,-0.89
2017-02-10,997.6,979.0,1005.6,947.0,62130.0,1.91,3.7,3.71,1234.12,1230.62,1237.07,1221.12,0.26
2017-02-11,1008.3,997.6,1014.3,983.9,28320.0,1.07,3.7,3.71,1234.12,1230.62,1237.07,1221.12,0.26
2017-02-12,996.5,1008.3,1007.8,992.5,14750.0,-1.17,3.7,3.71,1234.12,1230.62,1237.07,1221.12,0.26
2017-02-13,995.4,996.5,1007.6,975.1,32910.0,-0.12,3.67,3.68,1225.44,1231.84,1232.65,1219.37,-0.7
2017-02-14,1008.3,995.4,1013.8,986.5,39540.0,1.3,3.69,3.69,1228.61,1225.74,1234.87,1221.75,0.26
2017-02-15,1008.2,1008.3,1010.9,999.7,23360.0,-0.01,3.65,3.66,1232.94,1228.89,1233.61,1216.8,0.35
2017-02-16,1031.9,1008.2,1040.3,1007.4,38080.0,2.35,3.65,3.65,1239.14,1233.34,1242.71,1232.04,0.5
2017-02-17,1049.4,1031.9,1057.4,1025.9,45710.0,1.69,3.67,3.68,1235.29,1239.25,1243.84,1234.52,-0.31
2017-02-18,1052.3,1049.4,1063.2,1044.7,25360.0,0.27,3.67,3.68,1235.29,1239.25,1243.84,1234.52,-0.31
2017-02-19,1048.9,1052.3,1056.5,1037.7,17950.0,-0.32,3.67,3.68,1235.29,1239.25,1243.84,1234.52,-0.31
2017-02-20,1077.6,1048.9,1081.8,1041.0,31010.0,2.73,3.67,3.67,1238.38,1235.2,1239.29,1232.62,0.25
2017-02-21,1119.0,1077.6,1123.0,1073.5,57050.0,3.85,3.62,3.63,1235.97,1237.03,1238.92,1225.8,-0.19
2017-02-22,1120.5,1119.0,1132.3,1094.8,47910.0,0.13,3.62,3.63,1237.69,1236.22,1240.72,1231.62,0.14
2017-02-23,1171.9,1120.5,1181.6,1113.5,65740.0,4.59,3.61,3.62,1249.41,1237.79,1251.21,1235.2,0.95
2017-02-24,1176.5,1171.9,1211.7,1092.4,108170.0,0.39,3.57,3.58,1256.94,1249.52,1260.48,1247.54,0.6
2017-02-25,1149.1,1176.5,1180.0,1116.2,45860.0,-2.33,3.57,3.58,1256.94,1249.52,1260.48,1247.54,0.6
2017-02-26,1171.6,1149.1,1177.5,1130.6,30770.0,1.96,3.57,3.58,1256.94,1249.52,1260.48,1247.54,0.6
2017-02-27,1188.8,1171.6,1195.8,1164.3,35470.0,1.47,3.57,3.58,1252.76,1257.41,1263.88,1250.48,-0.33
2017-02-28,1189.3,1188.8,1208.2,1175.8,50580.0,0.04,3.59,3.59,1248.59,1252.48,1258.37,1247.48,-0.33
2017-03-01,1222.7,1189.3,1225.0,1154.6,51150.0,2.81,3.61,3.61,1248.94,1248.57,1250.68,1236.53,0.03
2017-03-02,1255.5,1222.7,1287.0,1212.0,78490.0,2.68,3.63,3.64,1235.3,1249.44,1250.36,1231.16,-1.09
2017-03-03,1283.3,1255.5,1291.3,1250.8,67280.0,2.22,3.68,3.69,1234.3,1234.8,1236.28,1222.59,-0.08
2017-03-04,1264.3,1283.3,1285.8,1228.7,38420.0,-1.48,3.68,3.69,1234.3,1234.8,1236.28,1222.59,-0.08
2017-03-05,1271.2,1264.3,1273.3,1242.1,25430.0,0.55,3.68,3.69,1234.3,1234.8,1236.28,1222.59,-0.08
2017-03-06,1277.0,1271.2,1280.6,1261.0,31030.0,0.46,3.72,3.73,1225.96,1232.81,1237.17,1224.65,-0.68
2017-03-07,1232.7,1277.0,1280.9,1148.7,87720.0,-3.47,3.71,3.72,1215.67,1225.62,1227.25,1213.67,-0.84
2017-03-08,1147.0,1232.7,1242.0,1136.9,97880.0,-6.95,3.68,3.69,1207.58,1215.65,1218.68,1206.13,-0.67
2017-03-09,1191.3,1147.0,1207.0,1129.3,59860.0,3.87,3.7,3.71,1200.83,1207.63,1209.17,1199.12,-0.56
2017-03-10,1112.4,1191.3,1330.4,988.7,190470.0,-6.63,3.75,3.76,1204.55,1200.8,1206.43,1194.62,0.31
2017-03-11,1179.2,1112.4,1202.7,1104.8,70750.0,6.01,3.75,3.76,1204.55,1200.8,1206.43,1194.62,0.31
2017-03-12,1225.1,1179.2,1235.5,1160.9,44410.0,3.89,3.75,3.76,1204.55,1200.8,1206.43,1194.62,0.31
2017-03-13,1238.2,1225.1,1245.6,1205.6,60460.0,1.07,3.75,3.75,1204.05,1205.43,1211.66,1202.47,-0.04
2017-03-14,1243.1,1238.2,1255.5,1218.4,45140.0,0.4,3.74,3.75,1199.08,1204.25,1208.38,1197.54,-0.41
2017-03-15,1253.4,1243.1,1256.9,1236.4,43590.0,0.83,3.75,3.75,1219.4,1199.11,1222.66,1197.93,1.69
2017-03-16,1172.9,1253.4,1260.2,1119.0,132770.0,-6.43,3.73,3.74,1226.78,1219.03,1233.51,1217.83,0.61
2017-03-17,1071.7,1172.9,1174.9,1063.5,163740.0,-8.63,3.67,3.68,1229.15,1227.31,1232.45,1225.06,0.19
2017-03-18,971.4,1071.7,1103.6,940.2,210420.0,-9.36,3.67,3.68,1229.15,1227.31,1232.45,1225.06,0.19
2017-03-19,1022.6,971.4,1063.7,967.3,106450.0,5.27,3.67,3.68,1229.15,1227.31,1232.45,1225.06,0.19
2017-03-20,1047.5,1022.6,1057.5,1005.0,61430.0,2.44,3.61,3.61,1233.9,1229.79,1236.25,1229.51,0.39
2017-03-21,1121.3,1047.5,1125.5,1043.9,92590.0,7.04,3.63,3.63,1245.0,1233.78,1248.1,1226.82,0.9
2017-03-22,1044.7,1121.3,1121.9,997.8,115290.0,-6.83,3.61,3.62,1249.35,1244.15,1251.76,1243.89,0.35
2017-03-23,1035.0,1044.7,1062.8,1022.0,56520.0,-0.93,3.63,3.63,1245.3,1248.86,1253.62,1242.84,-0.32
2017-03-24,939.7,1035.0,1038.4,927.3,132600.0,-9.21,3.61,3.62,1244.17,1244.88,1252.28,1240.72,-0.09
